# Ionization energy in eV of H-like, He-like, and Li-like ions, retrieved from NIST Atomic Spectra Database Ionization Energies Form.
Element,Q,Ionization,Uncertainty
Lu,69,72322.91,0.22
Lu,70,73804.8,0.4
Hf,69,18502.32,0.17
Hf,70,74565.93,0.09
Hf,71,76077.8,0.4
Ta,70,19088.51,0.19
Ta,71,76852.03,0.10
Ta,72,78394.7,0.5
W,71,19686.74,0.20
W,72,79181.94,0.10
W,73,80755.6,0.6
Re,72,20297.40,0.21
Re,73,81556.90,0.17
Re,74,83162.3,0.6
Os,73,20920.60,0.22
Os,74,83976.21,0.12
Os,75,85614.4,0.6
Ir,74,21556.60,0.24
Ir,75,86438.9,0.5
Ir,76,88113.3,0.6
Pt,75,22205.7,0.3
Pt,76,88955.18,0.15
Pt,77,90659.7,0.7
Au,76,22868.1,0.3
Au,77,91515.82,0.17
Au,78,93254.3,0.4
Hg,77,23544.1,0.3
Hg,78,94124.70,0.19
Hg,79,95897.7,0.9
Tl,78,24234.1,0.4
Tl,79,96783.21,0.20
Tl,80,98591.6,0.4
Pb,79,24938.2,0.4
Pb,80,99491.85,0.21
Pb,81,101336.4,0.4
Bi,80,25656.9,0.4
Bi,81,102251.76,0.24
Bi,82,104132.8,0.5
Po,81,26390.4,0.4
Po,82,105064.3,0.4
Po,83,106982.7,1.2
At,82,27139.0,0.4
At,83,107923.4,0.7
At,84,109886.0,1.4
Rn,83,27903.1,0.5
Rn,84,110842.0,0.5
Rn,85,112843.7,1.6
Fr,84,28683.4,0.5
Fr,85,113817.2,0.5
Fr,86,115859.0,1.7
Ra,85,29479.8,0.5
Ra,86,116848.7,0.9
Ra,87,118931.3,1.9
Ac,86,30293.1,0.5
Ac,87,119938.6,1.0
Ac,88,122062.9,2.0
Th,87,31122.8,0.6
Th,88,123086.4,1.0
Th,89,125253.4,2.2
Pa,88,31971.6,0.6
Pa,89,126296.6,1.0
Pa,90,128507.1,2.5
U,89,32836.5,0.6
U,90,129570.3,0.6
U,91,131821,3
Np,90,33722.2,0.7
Np,91,132901.8,1.1
Np,92,135202,3
Pu,91,34625.8,0.7
Pu,92,136299.2,1.1
Pu,93,138646,3
Am,92,35549.4,0.7
Am,93,139769.5,0.7
Am,94,142161,4
Cm,93,36493.0,0.9
Cm,94,143299.6,1.2
Cm,95,145743,4
Bk,94,37457.6,0.9
Bk,95,146904.7,1.4
Bk,96,149398,4
